DATE,TIME,実績(万kW)
2015 1 20,7 00,3861
2015 1 20,8 00,3992
2015 1 20,9 00,4002
2015 1 20,10 00,3861
2015 1 20,11 00,3754
2015 1 20,12 00,3502
2015 1 20,13 00,3616
2015 1 20,14 00,3589
2015 1 20,15 00,3618
2015 1 20,16 00,3840
2015 1 20,17 00,4184
2015 1 20,18 00,4241
2015 1 20,19 00,4149
2015 1 20,20 00,4053
2015 1 20,21 00,3922
2015 1 20,22 00,3791
2015 1 20,23 00,3565
2015 1 21,0 00,3276
2015 1 21,1 00,3108
2015 1 21,2 00,3016
2015 1 21,3 00,2942
2015 1 21,4 00,2955
2015 1 21,5 00,3150
2015 1 21,6 00,3631
2015 1 21,7 00,3988
2015 1 21,8 00,4253
2015 1 21,9 00,4442
2015 1 21,10 00,4428
2015 1 21,11 00,4407
2015 1 21,12 00,4206
2015 1 21,13 00,4337
2015 1 21,14 00,4334
2015 1 21,15 00,4360
2015 1 21,16 00,4543
2015 1 21,17 00,4652
2015 1 21,18 00,4601
2015 1 21,19 00,4479
2015 1 21,20 00,4330
2015 1 21,21 00,4140
2015 1 21,22 00,3952
2015 1 21,23 00,3665
2015 1 22,0 00,3321
2015 1 22,1 00,3131
2015 1 22,2 00,3014
2015 1 22,3 00,2933
2015 1 22,4 00,2934
2015 1 22,5 00,3111
2015 1 22,6 00,3580
2015 1 22,7 00,3921
2015 1 22,8 00,4199
2015 1 22,9 00,4400
2015 1 22,10 00,4371
2015 1 22,11 00,4356
2015 1 22,12 00,4152
2015 1 22,13 00,4309
2015 1 22,14 00,4260
2015 1 22,15 00,4231
2015 1 22,16 00,4379
2015 1 22,17 00,4484
2015 1 22,18 00,4432
2015 1 22,19 00,4287
2015 1 22,20 00,4133
2015 1 22,21 00,3966
2015 1 22,22 00,3800
2015 1 22,23 00,3545
2015 1 23,0 00,3240
2015 1 23,1 00,3063
2015 1 23,2 00,2961
2015 1 23,3 00,2888
2015 1 23,4 00,2893
2015 1 23,5 00,3064
2015 1 23,6 00,3513
2015 1 23,7 00,3788
2015 1 23,8 00,3988
2015 1 23,9 00,4014
2015 1 23,10 00,3844
